Altium Designer Pick and Place Locations
C:\Users\isili\OneDrive\Desktop\multimodal-hw-00\multimodal_hw_00\multimodal_hw_00\Project Outputs for Free Documents\Pick Place\Pick Place for Multimodal.txt

========================================================================================================================
File Design Information:

Date:       04/04/26
Time:       06:32
Revision:   37949d5ebbc531061709f1094e6bc8c3e96c51c0
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                 
C1         C1005X5R1V105K050BC         TopLayer    CAPTDK0402                    5436.540      3315.349      0        "CAP CER 1UF 35V X5R 0402"                                                                                                                                                  
D7         S15193                      BottomLayer S15193                        5375.810      3252.926      180      "PHOTODIODE PIN 380 NM-1000 NM 20V 0.64 A/W SMD"                                                                                                                            
D11        "SFH 2703"                  BottomLayer LED_SFH_2703_OSR              5123.032      3861.220      180      "SENSOR PHOTODIODE 940NM 2SMD"                                                                                                                                              
D3         "SFH 2703"                  BottomLayer LED_SFH_2703_OSR              5252.953      3646.653      225      "SENSOR PHOTODIODE 940NM 2SMD"                                                                                                                                              
CR3        ESD9X5.0ST5G                TopLayer    SOD-923_514AB_ONS             5027.051      2762.229      270      "TVS DIODE 5VWM 12.3VC SOD923"                                                                                                                                              
SW2        "NANOT 240 AS"              TopLayer    TACTILE-SWITCH_-_TINY         5127.860      2711.879      180      "SWITCH TACTILE SPST-NO 0.02A 15V"                                                                                                                                          
D12        RB521S30T1G                 TopLayer    SOD-523_0P9X1P3_ONS-L         4962.634      2755.625      270      "DIODE SCHOTTKY 30V 200MA SOD523"                                                                                                                                           
R6         RMCF0402FT10K0              TopLayer    RES-STACK-POLE-0402           4983.418      2631.845      0        "RES 10K OHM 1% 1/16W 0402"                                                                                                                                                 
C26        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5113.688      2792.389      0        "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
R22        RMCF0402JT220R              TopLayer    RES-STACK-POLE-0402           5359.629      2971.836      90       "RES 220 OHM 5% 1/16W 0402"                                                                                                                                                 
R20        RMCF0603JG100K              TopLayer    RES-STACK-POLE-0603           4585.786      3643.589      180      "RES 100K OHM 5% 1/10W 0603"                                                                                                                                                
R21        RMCF0603JG100K              TopLayer    RES-STACK-POLE-0603           4586.281      3573.855      0        "RES 100K OHM 5% 1/10W 0603"                                                                                                                                                
J4         battery_connection          TopLayer    Battery_connection            5358.355      4587.628      180      ""                                                                                                                                                                          
R34        RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           5456.536      3844.760      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
R25        RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           5455.680      3942.699      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
R39        RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           5458.460      3742.778      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
R17        RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           5454.143      4040.328      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
J7         electrode                   TopLayer    electrode                     5608.776      3958.156      0        "one pad opening"                                                                                                                                                           
J8         electrode                   TopLayer    electrode                     5608.776      3859.587      0        "one pad opening"                                                                                                                                                           
J6         electrode                   TopLayer    electrode                     5608.776      4054.701      0        "one pad opening"                                                                                                                                                           
J9         electrode                   TopLayer    electrode                     5608.776      3756.516      0        "one pad opening"                                                                                                                                                           
XO2        ECS-327-9-12R-C-TR          TopLayer    LSE-32K                       4709.980      3347.649      270      "Crystal 0.032768MHz ±10ppm (Tol) 9pF Flexural 70000Ohm Automotive 2-Pin Ultra Mini-CSMD T/R"                                                                               
XO1        32MHz                       TopLayer    HSE-32MHZ                     5206.876      3102.376      270      "CRYSTAL 32MHZ 8PF 60R SMD"                                                                                                                                                 
U8         BME280                      BottomLayer BME280_FOOTPRINT              5558.069      3342.897      180      "SENSOR PRESSURE HUMIDITY TEMP Humidity, Pressure, Temperature 0 ~ 100% RH I2C, SPI ±3% 1 s Surface Mount"                                                                  
U7         MLPF-WB55-01E3              TopLayer    Matched-Filter-2.4GHz         5038.783      3003.680      270      "2.4 GHz Matched filter companion chip for STM32WB55Cx and STM32WB55Rx"                                                                                                     
U6         STM32WB55RGV6               TopLayer    STM32WB55RG                   4951.980      3240.649      0        "Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32 MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.4, 802.15.4, Zigbee, Thread, Matter, USB, LCD, AES-256" 
U5         ADPD7000BCBZR7              TopLayer    ADPD7001_36-WLCSP             5292.826      3440.155      90       "Multimodal Sensor Front End"                                                                                                                                               
2          TESTPOINT_S                 TopLayer    TESTPOINT_S                   5408.864      3095.816      0        "Testpoint Surface Pad"                                                                                                                                                     
1          TESTPOINT_S                 TopLayer    TESTPOINT_S                   5438.374      3186.697      0        "Testpoint Surface Pad"                                                                                                                                                     
SC1        S0951-46R                   TopLayer    RF-SHIELD+CLIP                4815.424      2932.395      180      "RFI SHIELD CLIP MINI TIN SMD"                                                                                                                                              
R38        RMCF0402ZT0R00              TopLayer    RES-STACK-POLE-0402           5477.514      3021.034      90       "RES 0 OHM JUMPER 1/16W 0402"                                                                                                                                               
R37        RMCF0402FT10R0              TopLayer    RES-STACK-POLE-0402           5641.163      3175.176      0        "RES 10 OHM 1% 1/16W 0402"                                                                                                                                                  
R36        RMCF0402FT10R0              TopLayer    RES-STACK-POLE-0402           5641.750      3054.973      0        "RES 10 OHM 1% 1/16W 0402"                                                                                                                                                  
R35        RMCF0603ZT0R00              TopLayer    RES-STACK-POLE-0603           5351.339      2823.181      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                                               
R33        ERA-2AEB512X                TopLayer    RES-STACK-POLE-0402           4900.000      4083.535      90       "RES SMD 5.1K OHM 0.1% 1/16W 0402"                                                                                                                                          
R32        RMCF0402FT4K70              TopLayer    RES-STACK-POLE-0402           4721.810      3565.363      180      "RES 4.7K OHM 1% 1/16W 0402"                                                                                                                                                
R31        RMCF0402FT4K70              TopLayer    RES-STACK-POLE-0402           4720.586      3622.143      180      "RES 4.7K OHM 1% 1/16W 0402"                                                                                                                                                
R28        ERA-2AEB512X                TopLayer    RES-STACK-POLE-0402           4900.000      4314.000      270      "RES SMD 5.1K OHM 0.1% 1/16W 0402"                                                                                                                                          
R24        RMCF0402FT100K              TopLayer    RES-STACK-POLE-0402           5186.993      3425.780      90       "RES 100K OHM 1% 1/16W 0402"                                                                                                                                                
R19        RMCF0402FT100K              BottomLayer RES-STACK-POLE-0402           4666.339      3131.890      90       "RES 100K OHM 1% 1/16W 0402"                                                                                                                                                
R15        RMCF0402FT100K              BottomLayer RES-STACK-POLE-0402           4717.717      3206.693      180      "RES 100K OHM 1% 1/16W 0402"                                                                                                                                                
L6         MHQ0603P2N9ST000            TopLayer    INDTDK0201                    5502.914      2628.300      180      "FIXED IND 2.9NH 450MA 300MOHM SM"                                                                                                                                          
L5         MLG0603P1N8CT000            TopLayer    INDTDK0201                    5471.418      2670.622      180      "FIXED IND 1.8NH 700MA 100MOHM SM"                                                                                                                                          
J5         U.FL-R-SMT(10)              TopLayer    RF-CONNECTOR                  5326.733      2672.122      180      "CONN U.FL RCPT STR 50 OHM SMD"                                                                                                                                             
J3         2171790001                  TopLayer    2171790001_MOL                4710.424      4216.495      270      "Universal Serial Bus (USB) Shielded I/O Receptacle, Type C, Right-Angle, Top Mount, Surface Mount, Single Row, 16 Circuits, Gold (Au) Plating"                             
FB5        MFBA3V1608K-601-R           BottomLayer INDMURT0603                   4751.968      3084.646      90       "FERRITE BEAD 600 OHM 0603 1LN"                                                                                                                                             
FB4        MAF1608GAD601CT000          BottomLayer INDMURT0603                   5046.410      3969.321      0        "FERRITE BEAD 120 OHM 0603 1LN"                                                                                                                                             
FB3        MAF1608GAD601CT000          BottomLayer INDMURT0603                   5319.232      3876.823      0        "FERRITE BEAD 120 OHM 0603 1LN"                                                                                                                                             
FB2        MAF1608GAD601CT000          BottomLayer INDMURT0603                   5556.950      3192.586      90       "FERRITE BEAD 120 OHM 0603 1LN"                                                                                                                                             
FB1        MAF1608GAD601CT000          BottomLayer INDMURT0603                   5566.580      3786.992      0        "FERRITE BEAD 120 OHM 0603 1LN"                                                                                                                                             
D13        Orange                      TopLayer    DISPLAY-LED                   5361.802      3090.215      90       "LED ORANGE CLEAR 0603 SMD"                                                                                                                                                 
D8         "CT DBLP31.12-6C5D-56-J6Q4" BottomLayer CT_DBLP31.12-6C5D-56-J6Q4_OSR 5157.646      3749.452      270      "LED GREEN CLEAR SMD Green 536nm LED Indication - Discrete 2.3V 3-SMD, No Lead"                                                                                             
D6         019-141-411-R               BottomLayer RED-PD                        5478.494      3475.380      180      "PHOTODIODE RED MICRO SMT"                                                                                                                                                  
D5         LXZ1-PR01                   BottomLayer LXZ1-PR01                     5358.315      3130.462      0        "LED LUXEON Z RYL BLUE 450NM 2SMD"                                                                                                                                          
D4         LXZ1-PR01                   BottomLayer LXZ1-PR01                     5480.480      3585.352      0        "LED LUXEON Z RYL BLUE 450NM 2SMD"                                                                                                                                          
CR1        USBLC6-2SC6                 TopLayer    SOT-23                        4953.740      4197.835      180      "ESD Protection for USB 2.0 High Speed"                                                                                                                                     
C62        CGA2B2C0G1H101J050BA        TopLayer    CAPTDK0402                    4912.402      4495.079      270      "CAP CER 100PF 50V C0G 0402"                                                                                                                                                
C60        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    5649.208      3387.176      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C58        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    4719.371      3459.908      90       "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C57        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    4987.858      3795.876      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C56        0402W106M6R3HI              BottomLayer CAPTDK0402                    4987.858      3853.851      180      "CAP SMD,0402,X5R,10UF,20%,6.3V"                                                                                                                                            
C55        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    5245.040      3790.675      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C54        0402W106M6R3HI              BottomLayer CAPTDK0402                    5300.836      3790.929      270      "CAP SMD,0402,X5R,10UF,20%,6.3V"                                                                                                                                            
C53        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5640.135      3231.095      0        "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C52        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5551.680      2992.731      0        "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C51        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5551.680      3052.278      0        "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C50        C1005X5R1V105K050BC         TopLayer    CAPTDK0402                    5641.238      3114.356      0        "CAP CER 1UF 35V X5R 0402"                                                                                                                                                  
C49        GRM155R61A106ME11D          BottomLayer CAPTDK0402                    5360.210      3570.132      90       "CAP CER 10UF 10V X5R 0402"                                                                                                                                                 
C48        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    5306.743      3570.422      90       "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C47        GRM155R61A106ME11D          TopLayer    CAPTDK0402                    5219.617      3323.934      270      "CAP CER 10UF 10V X5R 0402"                                                                                                                                                 
C46        CGA2B2C0G1H120J050BA        TopLayer    CAPTDK0402                    4619.980      3318.649      180      "CAP CER 12PF 50V C0G 0402"                                                                                                                                                 
C45        CGA2B2C0G1H120J050BA        TopLayer    CAPTDK0402                    4620.980      3374.649      180      "CAP CER 12PF 50V C0G 0402"                                                                                                                                                 
C43        CGA2B2C0G1H101J050BA        TopLayer    CAPTDK0402                    5106.968      2994.890      270      "CAP CER 100PF 50V C0G 0402"                                                                                                                                                
C42        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5176.917      2962.006      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C40        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5065.254      3460.824      0        "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C38        C1005X5R1A475K050BC         TopLayer    CAPTDK0402                    5201.237      3203.105      0        "CAP CER 4.7UF 10V X5R 0402"                                                                                                                                                
C37        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    4772.723      3460.503      90       "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C36        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5176.750      3270.812      90       "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C35        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    4957.171      3004.462      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C34        GRM155R61A106ME11D          TopLayer    CAPTDK0402                    5328.928      3555.776      90       "CAP CER 10UF 10V X5R 0402"                                                                                                                                                 
C33        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    5438.586      3113.663      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C32        0402W106M6R3HI              BottomLayer CAPTDK0402                    5491.279      3113.806      270      "CAP SMD,0402,X5R,10UF,20%,6.3V"                                                                                                                                            
C31        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5271.465      3323.911      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C30        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    5517.893      3721.926      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C29        C1005X7R1H104K050BB         TopLayer    CAPTDK0402                    5274.537      3555.941      90       "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C28        0402W106M6R3HI              BottomLayer CAPTDK0402                    5518.199      3667.460      180      "CAP SMD,0402,X5R,10UF,20%,6.3V"                                                                                                                                            
C27        GRM155R60J474KE19D          TopLayer    CAPTDK0402                    5550.365      3740.484      90       "CAP CER 0.47UF 6.3V X5R 0402"                                                                                                                                              
C25        GRM155R60J474KE19D          TopLayer    CAPTDK0402                    5548.441      3842.465      90       "CAP CER 0.47UF 6.3V X5R 0402"                                                                                                                                              
C24        C1005X5R1V105K050BC         TopLayer    CAPTDK0402                    5387.016      3481.751      90       "CAP CER 1UF 35V X5R 0402"                                                                                                                                                  
C23        C1005X5R1V105K050BC         TopLayer    CAPTDK0402                    5404.409      3383.688      0        "CAP CER 1UF 35V X5R 0402"                                                                                                                                                  
C22        GRM155R60J474KE19D          TopLayer    CAPTDK0402                    5547.585      3940.405      90       "CAP CER 0.47UF 6.3V X5R 0402"                                                                                                                                              
C21        GRM155R60J474KE19D          TopLayer    CAPTDK0402                    5546.048      4038.034      90       "CAP CER 0.47UF 6.3V X5R 0402"                                                                                                                                              
C17        C1005X7R1H104K050BB         BottomLayer CAPTDK0402                    4691.878      2618.752      270      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                
C16        C1005X5R1V105K050BC         BottomLayer CAPTDK0402                    4635.776      2618.240      270      "CAP CER 1UF 35V X5R 0402"                                                                                                                                                  
AE1        ANT016008LCS2442MA2         TopLayer    ANTENNA                       5604.352      2616.773      180      "TDK - ANT016008LCS2442MA2 - Chip Antenna, ISM, 2.442 GHz, 50 Ohm, 1.6mm x 0.8mm x 0.4mm"                                                                                   
